Métrique,Julien,Random,Écart
ROI (%),-89.62857142857142,-89.85714285714286,0.22857142857144197
Taux de réussite (%),7.1,7.199999999999999,-0.09999999999999964
Gains totaux (CHF),363.0,355.0,8.0
Rang 1 (5+2),0.0,0.0,0.0
Rang 2 (5+1),0.0,0.0,0.0
Rang 3 (5+0),0.0,0.0,0.0
Rang 4 (4+2),0.0,0.0,0.0
Rang 5 (4+1),0.0,0.0,0.0
Rang 6 (3+2),0.0,0.0,0.0
Rang 7 (4+0),0.0,0.0,0.0
Rang 8 (2+2),1.0,1.0,0.0
Rang 9 (3+1),1.0,1.0,0.0
Rang 10 (3+0),2.0,1.0,1.0
Rang 11 (1+2),5.0,1.0,4.0
Rang 12 (2+1),16.0,28.0,-12.0
Rang 13 (2+0),46.0,40.0,6.0
